"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","superficie","osm_id","comm_fkt"
"w681856151",6,1,0,6,5,11,327.5,369,32.1697200754002,12,6,3,175,175,37.1905425085467,45678.12,681856151,"MAROTOKO_AMBOATROTROKA"
"w681856160",6,1,0,6,6,11,324.25,363,26.6830013672036,12,6,3,175,175,31.3460819715838,11442.43,681856160,"MAROTOKO_AMBOATROTROKA"
"w681856162",6,1,0,5,6,1,321,353,15.7942900860813,12,6,3,188,188,17.418119047883,5493.239,681856162,"MAROTOKO_AMBOATROTROKA"
"w681856163",7,2,0,6,6,11,287.4,300,13.9684813896221,2,6,4,177.5,177.5,7.79513729765362,7350.777,681856163,"MAROTOKO_AMBOATROTROKA"
"w681856298",5,0,1,3,4,12,317.25,348.5,26.2564780545098,NA,NA,NA,NA,NA,NA,1039.71,NA,NA
"w681856299",6,0,0,4,3,9,349,349,25.209960307536,NA,NA,NA,NA,NA,NA,2038.625,681856299,"RANOMAFANA_SAHANDRAZANA"
"w681856300",9,0,2,3,1,6,263.666666666667,258,11.001840529403,NA,NA,NA,NA,NA,NA,2723.268,681856300,"RANOMAFANA_VOHIMARINA"
"w681856301",6,1,0,6,6,1,323.25,315,19.7903258069433,11,8,3,292,292,9.42586966363806,1916.427,NA,NA
"w681857535",8,3,0,6,12,9,223.2,182,8.61223366150327,12,6,3,183,181,7.7661693510021,13359.75,681857535,"RANOMAFANA_VOHIMARINA"
"w681857536",6,0,1,4,4,12,335,321,15.6684930582027,NA,NA,NA,NA,NA,NA,3263.723,681857536,"RANOMAFANA_VOHIMARINA"
"w681857537",6,0,0,3,3,11,354.6,320,26.3994533099048,NA,NA,NA,NA,NA,NA,1613.665,NA,NA
"w681857538",8,1,1,4,1,10,292.6,278,13.3658480553452,1,7,4,196,196,10.3057654786159,3655.21,681857538,"RANOMAFANA_VOHIMARINA"
"w681857543",8,3,0,1,1,10,301.2,327,14.0469605194381,1,6,4,153.333333333333,154,7.15796539208239,1492.452,NA,NA
"w681857550",5,0,0,5,5,9,369.8,370,13.6920878284524,NA,NA,NA,NA,NA,NA,2162.52,681857550,"RANOMAFANA_VOHIMARINA"
"w681857551",5,0,2,3,1,7,349.333333333333,328,2.53987867560516,NA,NA,NA,NA,NA,NA,1547.186,NA,NA
"w681859147",8,0,1,6,6,4,286.166666666667,303,10.6665670515986,NA,NA,NA,NA,NA,NA,1825.599,NA,NA
"w681859173",8,2,1,6,12,9,225.6,181,30.5156835528706,12,6,3,188.5,188.5,32.3475319196438,14622.93,681859173,"MAROTOKO_AMBOATROTROKA"
"w681859174",9,3,0,6,12,9,265.2,201,20.4135655481289,12,6,3,169,167,15.655936560242,10362.52,681859174,"MAROTOKO_AMBOATROTROKA"
"w681859175",9,3,0,6,6,9,246.8,209,12.8803079599547,12,6,3,185.333333333333,167,6.0074659616645,1498.09,NA,NA
"w681859182",9,2,1,6,3,10,285.6,300,29.3365067025962,12,6,3,160.5,160.5,19.8950902296401,12144.94,681859182,"MAROTOKO_AMBOATROTROKA"
"w681861216",5,0,0,3,2,9,461,422.5,31.7376442549302,NA,NA,NA,NA,NA,NA,1073.08,NA,NA
"w681861220",6,1,0,6,6,12,323,346,20.8410219959648,12,7,3,208,208,7.91984094721743,11718.29,681861220,"MAROTOKO_MAROTOKO"
"w681861222",5,0,0,6,6,2,378.75,373,35.7999969086237,NA,NA,NA,NA,NA,NA,2491.913,681861222,"MAROTOKO_MAROTOKO"
"w681861225",5,0,0,6,6,2,370,367,31.6204706089561,NA,NA,NA,NA,NA,NA,54570.62,681861225,"MAROTOKO_MAROTOKO"
"w681861226",7,0,3,4,3,9,351.333333333333,342,17.3417961611292,NA,NA,NA,NA,NA,NA,439.6433,NA,NA
"w681861229",5,0,0,5,1,9,334.75,327.5,11.5235156407892,NA,NA,NA,NA,NA,NA,1288.972,NA,NA
"w681861230",8,3,1,6,11,9,240.25,198,41.7021394776057,11,6,3,197.666666666667,196,42.7514036689869,1186.537,NA,NA
"w681861236",7,1,0,5,5,11,300.2,357,21.2163612641366,12,6,3,188,188,21.1999318522936,13394.58,681861236,"MAROTOKO_MAROTOKO"
"w681863146",6,0,1,8,2,9,377,405,12.0060072278922,NA,NA,NA,NA,NA,NA,6334.869,681863146,"MAROTOKO_MANDIAFASINA"
"w681863147",6,0,1,7,7,2,345.75,341.5,21.1769596461544,NA,NA,NA,NA,NA,NA,7840.733,681863147,"MAROTOKO_MAROTOKO"
"w681863150",7,0,1,5,5,9,330.6,322,12.9918331070952,NA,NA,NA,NA,NA,NA,15427.39,681863150,"MAROTOKO_MANDIAFASINA"
"w681863164",7,2,0,5,5,10,315.6,223,19.8521483281147,12,6,3,183.5,183.5,16.1912391259818,2604.845,681863164,"MAROTOKO_MAROTOKO"
"w681863174",8,2,1,7,1,9,272.2,266,21.6319373182174,1,7,5,180.5,180.5,17.5105111843367,3801.02,681863174,"MAROTOKO_MAROTOKO"
"w681863176",8,3,0,5,5,10,267.8,257,32.8495260033123,2,6,4,155,153,18.6812234124813,4759.396,681863176,"MAROTOKO_MAROTOKO"
"w681863185",6,0,2,6,6,2,329.75,360,29.2261123187321,NA,NA,NA,NA,NA,NA,14163.5,681863185,"MAROTOKO_MAROTOKO"
"w681863186",6,0,1,6,5,10,389,299.5,26.0767853202548,NA,NA,NA,NA,NA,NA,1998.812,NA,NA
"w681865100",5,0,0,5,6,10,373.25,377,17.1145762517048,NA,NA,NA,NA,NA,NA,6967.637,681865100,"MAROTOKO_AMBATOMITRATRAKA"
"w681865101",9,2,1,6,3,9,273.4,286,15.1724132140513,12,6,3,187,187,8.26724810726906,2651.017,681865101,"MAROTOKO_AMBATOMITRATRAKA"
"w681866485",6,0,0,6,6,2,370,370,18.1278657507132,NA,NA,NA,NA,NA,NA,16349.71,681866485,"MAROTOKO_AMBATOMITRATRAKA"
"w681866499",6,1,1,4,11,7,363,370,16.761164277663,11,7,3,244,244,23.4970550739527,4451.464,681866499,"MAROTOKO_AMBATOMITRATRAKA"
"w681868396",9,3,0,6,12,8,285,244,33.977662198338,12,6,3,187.333333333333,194,28.7040664684233,820.6513,NA,NA
"w681868397",6,0,1,5,4,10,368.5,360.5,4.36696409603072,NA,NA,NA,NA,NA,NA,1062.274,NA,NA
"w681868398",5,0,0,6,6,12,373.5,370.5,25.0688423188511,NA,NA,NA,NA,NA,NA,5939.704,681868398,"MAROTOKO_AMBATOMITRATRAKA"
"w681868399",5,0,0,6,6,10,436.5,362.5,20.8332159792087,NA,NA,NA,NA,NA,NA,1402.723,NA,NA
"w681868400",8,3,0,6,1,10,246,227,31.34395119147,1,6,4,169,167,23.0643976017477,6377.489,681868400,"MAROTOKO_AMBATOMITRATRAKA"
