"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","superficie","osm_id","comm_fkt"
"w669047293",7,0,1,3,2,9,345,342,25.4488073449406,NA,NA,NA,NA,NA,NA,3793.51764096,669047293,"RANOMAFANA_SAHANDRAZANA"
"w669047294",7,0,1,5,4,10,346.2,342,18.2160701806019,NA,NA,NA,NA,NA,NA,9297.96095795,669047294,"RANOMAFANA_SAHANDRAZANA"
"w669047295",6,1,0,3,3,11,333.6,343,15.9194293691794,12,7,4,195,195,5.02843729385066,1512.76556609,NA,NA
"w669047296",8,1,2,6,3,1,234.6,259,14.9133708673911,4,9,6,152,152,5.03220810004439,8414.6361559,669047296,"RANOMAFANA_SAHANDRAZANA"
"w669047297",6,0,1,1,1,9,320.75,314,14.8236751289899,NA,NA,NA,NA,NA,NA,11044.7281136,669047297,"RANOMAFANA_SAHANDRAZANA"
"w669047298",6,0,1,3,12,8,345,371,10.6626852667777,NA,NA,NA,NA,NA,NA,22302.2101454,669047298,"RANOMAFANA_SAHANDRAZANA"
"w669048449",5,0,0,1,1,9,369.75,356,16.4953315159834,NA,NA,NA,NA,NA,NA,10630.2118831,669048449,"RANOMAFANA_SAHANDRAZANA"
"w669048450",9,0,3,4,2,11,273.6,258,14.9953401442093,NA,NA,NA,NA,NA,NA,1880.29663,NA,NA
"w669048451",6,1,0,7,8,3,361,362.5,7.81835549841679,10,6,12,251,251,5.64300500923564,1894.16094375,NA,NA
"w669048452",7,0,2,5,2,9,332.75,338,17.8093409503954,NA,NA,NA,NA,NA,NA,2551.94175318,669048452,"RANOMAFANA_SAHANDRAZANA"
"w669048453",8,1,1,6,6,12,260.8,278,20.4942307420494,12,6,3,195,195,36.6357701738943,6306.37460087,669048453,"RANOMAFANA_SAHANDRAZANA"
"w669048454",5,0,0,4,4,1,406.75,353,7.48049740903278,NA,NA,NA,NA,NA,NA,3346.4647656,669048454,"RANOMAFANA_SAHANDRAZANA"
"w669048455",7,0,1,4,6,12,347.8,371,9.81297555738351,NA,NA,NA,NA,NA,NA,23692.8449817,669048455,"RANOMAFANA_SAHANDRAZANA"
"w669051293",7,0,1,5,1,9,340.2,320,14.9653081521845,NA,NA,NA,NA,NA,NA,1498.48989273,NA,NA
"w669051294",6,0,1,6,6,8,317.5,303.5,9.36346285908696,NA,NA,NA,NA,NA,NA,8878.53924823,669051294,"RANOMAFANA_SAHANDRAZANA"
"w669051295",8,2,0,6,6,1,304.4,350,14.4863944165964,12,6,3,169.5,169.5,15.2664349739308,45287.1211291,669051295,"RANOMAFANA_SAHANDRAZANA"
"w669051321",5,0,0,3,12,9,373.75,384,6.77574466152209,NA,NA,NA,NA,NA,NA,13440.5545603,669051321,"AMBIABE_AMBINANINDRANOTELO"
"w669051322",8,2,0,6,6,9,291.8,350,25.0890095583121,12,6,3,194.5,194.5,26.0246711432313,21268.9671609,669051322,"RANOMAFANA_SAHANDRAZANA"
"w669051323",5,0,0,5,5,10,361.6,385,10.4952802004729,NA,NA,NA,NA,NA,NA,1449.44183124,NA,NA
"w669051324",5,0,0,2,2,9,387.5,366.5,23.2622009277941,NA,NA,NA,NA,NA,NA,2516.03280266,669051324,"AMBIABE_AMBINANINDRANOTELO"
"w669051325",5,0,1,6,2,9,351.8,356,25.9180743046835,NA,NA,NA,NA,NA,NA,1156.96442674,NA,NA
"w669051326",8,1,1,6,6,3,267.8,286,6.23753467107283,11,6,4,230,230,5.86651132674595,4789.93330379,669051326,"AMBIABE_AMBINANINDRANOTELO"
