"full_id","num_season","year_2season","num_inactive","start_month_mode_seasonPrim","end_month_mode_seasonPrim","peak_month_mode_seasonPrim","dur_day_mean_seasonPrim","dur_day_median_seasonPrim","amp_mean_seasonPrim","start_month_mode_seasonSec","end_month_mode_seasonSec","peak_month_mode_seasonSec","dur_day_mean_seasonSec","dur_day_median_seasonSec","amp_mean_seasonSec","perc_max","osm_id","rcf_superficie","comm_fkt"
"w667685160",6,0,0,6,6,1,336.6,356,19.5851602906684,NA,NA,NA,NA,NA,NA,55.485587055302,667685160,64619.074,"MAROTOKO_AMBALAVIA"
"w667687816",8,0,2,3,4,8,344.8,356,6.70124528218071,NA,NA,NA,NA,NA,NA,29.3541599162261,667687816,4747.421,"MAROTOKO_AMBALAVIA"
"w667692075",5,0,0,7,7,1,359.75,356.5,27.0008978054787,NA,NA,NA,NA,NA,NA,93.7418720797364,667692075,14837.188,"MAROTOKO_AMBATOMITRATRAKA"
"w667692078",6,0,0,6,5,1,363,377,14.6572721692059,NA,NA,NA,NA,NA,NA,91.1125423370121,667692078,11124.675,"MAROTOKO_AMBATOMITRATRAKA"
"w667692079",5,0,2,1,1,8,371.5,352.5,17.8523131076643,NA,NA,NA,NA,NA,NA,86.5495457444852,667692079,2121.13,"MAROTOKO_AMBATOMITRATRAKA"
"w667692080",9,3,1,6,2,9,212.5,198,16.7228130383286,2,6,5,188,188,21.3716865451812,74.2045315164833,667692080,6556.109,"MAROTOKO_AMBATOMITRATRAKA"
"w667692081",8,3,0,6,2,9,260.4,279,15.048404047562,2,6,5,149,154,8.09309377628742,45.6102531136979,667692081,11555.119,"MAROTOKO_AMBATOMITRATRAKA"
"w667692084",7,0,1,5,3,10,308.2,286,11.6242966049091,NA,NA,NA,NA,NA,NA,85.9472740464851,667692084,2994.762,"MAROTOKO_AMBATOMITRATRAKA"
"w667692085",4,0,0,5,6,2,372,370.5,23.2004349547406,NA,NA,NA,NA,NA,NA,74.1732308869882,667692085,18434.902,"MAROTOKO_AMBATOMITRATRAKA"
"w667694897",6,0,1,6,6,10,335.4,363,17.2696713392533,NA,NA,NA,NA,NA,NA,80.7732512604201,667694897,5014.003,"MAROTOKO_AMBATOMITRATRAKA"
"w667694903",4,0,0,6,6,1,385.75,387.5,15.2057935751203,NA,NA,NA,NA,NA,NA,63.524162764023,667694903,4387.923,"MAROTOKO_AMBATOMITRATRAKA"
"w667694904",8,1,1,7,12,9,301.6,266,11.7414524212387,12,6,3,202,202,5.65634006636107,57.9638082587017,667694904,10765.542,"MAROTOKO_AMBATOMITRATRAKA"
"w667694906",6,1,1,7,6,10,285.5,302.5,31.9175088243756,2,7,4,147,147,7.75799800174157,84.1734942301995,667694906,19679.71,"MAROTOKO_AMBATOMITRATRAKA"
"w667694909",8,1,1,6,6,10,264.8,266,18.0643816361553,1,8,4,210,210,6.30935522631087,54.3121659770893,667694909,3899.49,"MAROTOKO_AMBATOMITRATRAKA"
"w667694910",7,0,1,5,7,11,329.2,329,17.6376272630759,NA,NA,NA,NA,NA,NA,64.1672323582949,667694910,2933.115,"MAROTOKO_AMBATOMITRATRAKA"
"w667694912",7,1,2,6,8,5,303.5,318.5,9.77074103313077,12,6,2,202,202,7.32091317698704,54.6539453645623,667694912,5630.752,"MAROTOKO_AMBATOMITRATRAKA"
"w667696147",6,0,1,6,6,1,345.25,356,16.706872261306,NA,NA,NA,NA,NA,NA,67.7319062294421,667696147,23262.003,"MAROTOKO_AMBATOMITRATRAKA"
"w667696158",7,1,0,6,6,1,290.4,301,21.0063489994891,1,1,5,349,349,15.7718977082365,77.0652631217628,667696158,2625.76,"MAROTOKO_AMBATOMITRATRAKA"
"w667696159",6,0,0,5,3,10,353.2,392,11.4372752853346,NA,NA,NA,NA,NA,NA,60.1293505067013,667696159,2529.814,"MAROTOKO_AMBATOMITRATRAKA"
"w667698192",8,2,2,6,2,10,265.25,202,20.2051007589979,12,6,3,205,205,19.4933660867025,68.1856804746829,667698192,6260.011,"MAROTOKO_AMBATOMITRATRAKA"
"w667698193",7,1,2,12,12,9,266.25,264.5,10.7295447244179,12,12,6,370,370,13.9438538408399,82.6417158652944,667698193,3010.565,"MAROTOKO_AMBATOMITRATRAKA"
"w667698197",6,0,0,5,6,3,334.8,341,9.01078778748195,NA,NA,NA,NA,NA,NA,76.1507292179465,667698197,10586.935,"MAROTOKO_AMBATOMITRATRAKA"
"w667698200",5,0,0,6,6,11,377,377,18.8976084637934,NA,NA,NA,NA,NA,NA,61.7506735096314,667698200,10475.479,"MAROTOKO_AMBATOMITRATRAKA"
"w667822433",5,0,2,1,6,9,436.5,436.5,19.4271556067992,NA,NA,NA,NA,NA,NA,71.0020731255211,667822433,8088.328,"MAROTOKO_AMBATOMITRATRAKA"
"w667822434",8,1,2,6,6,10,207.25,198.5,19.5789083876184,1,6,3,153,153,15.761334509154,78.1855349267541,667822434,2655.984,"MAROTOKO_AMBATOMITRATRAKA"
"w667822435",6,0,0,6,3,10,357.6,342,18.6391537030211,NA,NA,NA,NA,NA,NA,73.6946334918263,667822435,6383.482,"MAROTOKO_AMBATOMITRATRAKA"
"w667822436",7,1,1,6,6,10,298.8,356,19.4820897729275,12,6,3,174,174,15.5554271512853,62.563639048938,667822436,30896.241,"MAROTOKO_AMBATOMITRATRAKA"
"w667822437",5,0,0,4,3,9,365.8,341,22.9922068975133,NA,NA,NA,NA,NA,NA,92.6802805621939,667822437,2930.377,"MAROTOKO_AMBATOMITRATRAKA"
"w667822438",8,0,2,1,10,4,294.8,280,7.9072812546076,NA,NA,NA,NA,NA,NA,101.330164753498,667822438,3837.612,"MAROTOKO_AMBATOMITRATRAKA"
"w667822442",7,1,0,7,7,11,298.8,321,13.3875618061696,12,8,3,251,251,7.3607007703205,89.7448432179225,667822442,2502.596,"MAROTOKO_AMBATOMITRATRAKA"
"w667822444",7,0,2,11,6,5,334.75,317.5,5.70363523381947,NA,NA,NA,NA,NA,NA,35.2959335527453,667822444,2440.493,"MAROTOKO_AMBATOMITRATRAKA"
"w667824393",6,0,2,6,5,2,368,357,21.2304369953045,NA,NA,NA,NA,NA,NA,81.9343248182501,667824393,5794.502,"MAROTOKO_AMBATOMITRATRAKA"
"w667824394",6,0,2,6,6,1,383.666666666667,384,26.0969137314531,NA,NA,NA,NA,NA,NA,71.7559693506893,667824394,3923.253,"MAROTOKO_AMBATOMITRATRAKA"
"w667824396",6,0,1,7,6,10,336.5,349,19.0803864988107,NA,NA,NA,NA,NA,NA,87.3826436387413,667824396,4531.556,"MAROTOKO_AMBATOMITRATRAKA"
"w667824397",6,0,0,6,6,1,333.8,341,20.0250866211207,NA,NA,NA,NA,NA,NA,80.942386176683,667824397,5362.056,"MAROTOKO_AMBATOMITRATRAKA"
"w667824399",8,3,0,6,11,10,233.8,229,18.8291216179829,11,6,4,198,209,10.5221546258981,68.5735308890167,667824399,3743.923,"MAROTOKO_AMBATOMITRATRAKA"
"w667824400",4,0,1,3,5,2,421.666666666667,420,12.3652858438913,NA,NA,NA,NA,NA,NA,65.1451075939939,667824400,4939.443,"MAROTOKO_AMBATOMITRATRAKA"
"w667824402",5,0,0,6,6,2,370.25,370.5,14.7424942079928,NA,NA,NA,NA,NA,NA,52.4009819916806,667824402,30593.249,"MAROTOKO_AMBATOMITRATRAKA"
"w667826502",5,1,0,5,2,11,394,257,16.1143097392971,2,7,4,133,133,4.81900839487014,87.5230137304999,667826502,4120.236,"MAROTOKO_AMBATOMITRATRAKA"
"w667826513",5,0,0,4,6,10,385.75,394.5,19.397574503056,NA,NA,NA,NA,NA,NA,73.558619284253,667826513,4292.746,"MAROTOKO_AMBATOMITRATRAKA"
"w667826525",7,0,1,3,2,10,330.8,307,11.854161699131,NA,NA,NA,NA,NA,NA,97.5977124953729,667826525,3663.228,"MAROTOKO_AMBATOMITRATRAKA"
"w667826529",7,2,0,6,6,10,333,194,17.8903245168588,12,6,3,202,202,16.1024919779113,60.2792123662473,667826529,24192.691,"MAROTOKO_AMBATOMITRATRAKA"
"w667826534",7,0,1,6,6,11,324,329,9.80832720491946,NA,NA,NA,NA,NA,NA,63.8030903038813,667826534,28756.527,"MAROTOKO_AMBATOMITRATRAKA"
"w667826540",5,0,0,7,7,3,366.25,358.5,20.2977606109939,NA,NA,NA,NA,NA,NA,83.7988894718601,667826540,14683.211,"MAROTOKO_AMBATOMITRATRAKA"
"w667827666",7,0,3,6,1,9,317.25,334.5,11.1998260404809,NA,NA,NA,NA,NA,NA,55.0727494949316,667827666,22201.447,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667827667",6,0,1,3,12,8,358,367,17.6587222125914,NA,NA,NA,NA,NA,NA,86.2850387269878,667827667,3880.937,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667827668",7,2,0,7,2,10,298.8,293,24.8442605868043,2,7,4,153,153,10.2003792059557,79.6919403617825,667827668,3528.308,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667827669",5,0,0,6,6,1,370.25,370,19.4453505392888,NA,NA,NA,NA,NA,NA,70.8815201787495,667827669,35137.658,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667827670",8,0,2,6,6,3,295.6,257,12.070902297275,NA,NA,NA,NA,NA,NA,72.3119737803959,667827670,2905.574,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667827671",9,0,3,6,1,11,249.4,245,11.9562007918747,NA,NA,NA,NA,NA,NA,70.3177068714115,667827671,3794.577,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667827672",8,0,2,7,7,3,311.4,341,16.4147531408968,NA,NA,NA,NA,NA,NA,90.5366077218819,667827672,2647.839,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667829283",5,0,0,6,6,1,370,356,25.716865473634,NA,NA,NA,NA,NA,NA,68.7490275525682,667829283,35883.733,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667829284",5,0,0,6,6,1,366.75,367.5,25.0601373620103,NA,NA,NA,NA,NA,NA,60.817797346701,667829284,139673.216,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667829286",5,0,1,4,5,12,391,405,23.9751644220718,NA,NA,NA,NA,NA,NA,84.9826601101256,667829286,4422.403,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667830903",5,0,0,6,6,2,373.75,370,12.8519006087913,NA,NA,NA,NA,NA,NA,57.376009482038,667830903,28671.368,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667830904",10,2,2,6,1,1,252.2,231,23.3715592798351,12,6,3,174.5,174.5,28.2682772987151,70.0269888531197,667830904,17440.844,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667830916",8,0,2,6,5,9,303,329,21.8014767301729,NA,NA,NA,NA,NA,NA,49.4578664128371,667830916,5725.101,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667830917",4,0,0,6,5,10,363.25,357,17.5351188638711,NA,NA,NA,NA,NA,NA,85.5662261138019,667830917,7233.849,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w667830927",5,0,1,12,3,10,356.666666666667,301,17.2878678885463,NA,NA,NA,NA,NA,NA,46.1201277755915,667830927,5313.417,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
"w668188101",6,0,0,6,6,11,371.4,364,18.507980506851,NA,NA,NA,NA,NA,NA,49.124667189381,668188101,20323.402,"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO"
