"comm_fkt","year","month","rain_mm","date"
"AMBIABE_AMBALATENINA",2023,3,228.794443009749,2023-03-01
"AMBIABE_AMBALATENINA",2023,4,54.613293183208,2023-04-01
"AMBIABE_AMBALATENINA",2023,5,0,2023-05-01
"AMBIABE_AMBALATENINA",2023,6,0,2023-06-01
"AMBIABE_AMBALATENINA",2023,7,0,2023-07-01
"AMBIABE_AMBALATENINA",2023,8,0.96137339055794,2023-08-01
"AMBIABE_AMBALATENINA",2023,9,0,2023-09-01
"AMBIABE_AMBALATENINA",2023,10,22.2481519490353,2023-10-01
"AMBIABE_AMBALATENINA",2023,11,21.7123958481228,2023-11-01
"AMBIABE_AMBALATENINA",2023,12,160.661787072476,2023-12-01
"AMBIABE_AMBALATENINA",2024,1,232.160749950378,2024-01-01
"AMBIABE_AMBIABE I",2015,8,0,2015-08-01
"AMBIABE_AMBIABE I",2015,9,0,2015-09-01
"AMBIABE_AMBIABE I",2015,10,61.7734823226929,2015-10-01
"AMBIABE_AMBIABE I",2015,11,95.6545634269714,2015-11-01
"AMBIABE_AMBIABE I",2015,12,194.342827320099,2015-12-01
"AMBIABE_AMBIABE I",2016,1,88.829749584198,2016-01-01
"AMBIABE_AMBIABE I",2016,2,95.3197023868561,2016-02-01
"AMBIABE_AMBIABE I",2016,3,227.961102724075,2016-03-01
"AMBIABE_AMBIABE I",2016,4,13.0093519687653,2016-04-01
"AMBIABE_AMBIABE I",2016,5,0,2016-05-01
"AMBIABE_AMBIABE I",2016,6,0,2016-06-01
"AMBIABE_AMBIABE I",2016,7,0,2016-07-01
"AMBIABE_AMBIABE I",2016,8,0,2016-08-01
"AMBIABE_AMBIABE I",2016,9,0,2016-09-01
"AMBIABE_AMBIABE I",2016,10,56.0639742612839,2016-10-01
"AMBIABE_AMBIABE I",2016,11,126.789386153221,2016-11-01
"AMBIABE_AMBIABE I",2016,12,70.9162136316299,2016-12-01
"AMBIABE_AMBIABE I",2017,1,26.5035920143127,2017-01-01
"AMBIABE_AMBIABE I",2017,2,291.335134267807,2017-02-01
"AMBIABE_AMBIABE I",2017,3,169.528301596642,2017-03-01
"AMBIABE_AMBIABE I",2017,4,58.4928888082504,2017-04-01
"AMBIABE_AMBIABE I",2017,5,0,2017-05-01
"AMBIABE_AMBIABE I",2017,6,0,2017-06-01
"AMBIABE_AMBIABE I",2017,7,0,2017-07-01
"AMBIABE_AMBIABE I",2017,8,0,2017-08-01
"AMBIABE_AMBIABE I",2017,9,0,2017-09-01
"AMBIABE_AMBIABE I",2017,10,0,2017-10-01
"AMBIABE_AMBIABE I",2017,11,173.306774616241,2017-11-01
"AMBIABE_AMBIABE I",2017,12,246.862828969955,2017-12-01
"AMBIABE_AMBIABE I",2018,1,301.633141756058,2018-01-01
"AMBIABE_AMBIABE I",2018,2,176.739613056183,2018-02-01
"AMBIABE_AMBIABE I",2018,3,38.2992653846741,2018-03-01
"AMBIABE_AMBIABE I",2018,4,49.6219792366028,2018-04-01
"AMBIABE_AMBIABE I",2018,5,10.0483102798462,2018-05-01
"AMBIABE_AMBIABE I",2018,6,0,2018-06-01
"AMBIABE_AMBIABE I",2018,7,0,2018-07-01
"AMBIABE_AMBIABE I",2018,8,0,2018-08-01
"AMBIABE_AMBIABE I",2018,9,0,2018-09-01
"AMBIABE_AMBIABE I",2018,10,30.9922332763672,2018-10-01
"AMBIABE_AMBIABE I",2018,11,123.040281772614,2018-11-01
"AMBIABE_AMBIABE I",2018,12,111.933097600937,2018-12-01
"AMBIABE_AMBIABE I",2019,1,272.488741397858,2019-01-01
"AMBIABE_AMBIABE I",2019,2,137.279189199209,2019-02-01
"AMBIABE_AMBIABE I",2019,3,157.225949287415,2019-03-01
"AMBIABE_AMBIABE I",2019,4,15.035144329071,2019-04-01
"AMBIABE_AMBIABE I",2019,5,0,2019-05-01
"AMBIABE_AMBIABE I",2019,6,0,2019-06-01
"AMBIABE_AMBIABE I",2019,7,0,2019-07-01
"AMBIABE_AMBIABE I",2019,8,0,2019-08-01
"AMBIABE_AMBIABE I",2019,9,0,2019-09-01
"AMBIABE_AMBIABE I",2019,10,38.8238334655762,2019-10-01
"AMBIABE_AMBIABE I",2019,11,115.371045827866,2019-11-01
"AMBIABE_AMBIABE I",2019,12,189.785111188889,2019-12-01
"AMBIABE_AMBIABE I",2020,1,274.428579330444,2020-01-01
"AMBIABE_AMBIABE I",2020,2,190.796644806862,2020-02-01
"AMBIABE_AMBIABE I",2020,3,75.7357928752899,2020-03-01
"AMBIABE_AMBIABE I",2020,4,0,2020-04-01
"AMBIABE_AMBIABE I",2020,5,9,2020-05-01
"AMBIABE_AMBIABE I",2020,6,4.5,2020-06-01
"AMBIABE_AMBIABE I",2020,7,9,2020-07-01
"AMBIABE_AMBIABE I",2020,8,0,2020-08-01
"AMBIABE_AMBIABE I",2020,9,0,2020-09-01
"AMBIABE_AMBIABE I",2020,10,18,2020-10-01
"AMBIABE_AMBIABE I",2020,11,49.4999990463257,2020-11-01
"AMBIABE_AMBIABE I",2020,12,200.999996185303,2020-12-01
"AMBIABE_AMBIABE I",2021,1,101.999997138977,2021-01-01
"AMBIABE_AMBIABE I",2021,2,371.999998092651,2021-02-01
"AMBIABE_AMBIABE I",2021,3,145.499998092651,2021-03-01
"AMBIABE_AMBIABE I",2021,4,31.5,2021-04-01
"AMBIABE_AMBIABE I",2021,5,0,2021-05-01
"AMBIABE_AMBIABE I",2021,6,0,2021-06-01
"AMBIABE_AMBIABE I",2021,7,0,2021-07-01
"AMBIABE_AMBIABE I",2021,8,0,2021-08-01
"AMBIABE_AMBIABE I",2021,9,0,2021-09-01
"AMBIABE_AMBIABE I",2021,10,0,2021-10-01
"AMBIABE_AMBIABE I",2021,11,142.102955341339,2021-11-01
"AMBIABE_AMBIABE I",2021,12,122.881360054016,2021-12-01
"AMBIABE_AMBIABE I",2022,1,470.713562965393,2022-01-01
"AMBIABE_AMBIABE I",2022,2,286.520793914795,2022-02-01
"AMBIABE_AMBIABE I",2022,3,137.770668029785,2022-03-01
"AMBIABE_AMBIABE I",2022,4,19.6334252357483,2022-04-01
"AMBIABE_AMBIABE I",2022,5,0,2022-05-01
"AMBIABE_AMBIABE I",2022,6,0,2022-06-01
"AMBIABE_AMBIABE I",2022,7,0,2022-07-01
"AMBIABE_AMBIABE I",2022,8,0,2022-08-01
"AMBIABE_AMBIABE I",2022,9,0,2022-09-01
"AMBIABE_AMBIABE I",2022,10,31.4293632507324,2022-10-01
"AMBIABE_AMBIABE I",2022,11,92.7470254898071,2022-11-01
"AMBIABE_AMBIABE I",2022,12,151.487373590469,2022-12-01
"AMBIABE_AMBIABE I",2023,1,291.618638515472,2023-01-01
"AMBIABE_AMBIABE I",2023,2,142.482527971268,2023-02-01
"AMBIABE_AMBIABE I",2023,3,160.851984977722,2023-03-01
"AMBIABE_AMBIABE I",2023,4,46.2212738990784,2023-04-01
"AMBIABE_AMBIABE I",2023,5,0,2023-05-01
"AMBIABE_AMBIABE I",2023,6,0,2023-06-01
"AMBIABE_AMBIABE I",2023,7,0,2023-07-01
"AMBIABE_AMBIABE I",2023,8,0,2023-08-01
"AMBIABE_AMBIABE I",2023,9,0,2023-09-01
"AMBIABE_AMBIABE I",2023,10,35.7208323478699,2023-10-01
"AMBIABE_AMBIABE I",2023,11,22.4745895862579,2023-11-01
"AMBIABE_AMBIABE I",2023,12,169.476439416409,2023-12-01
"AMBIABE_AMBIABE I",2024,1,226.749586462975,2024-01-01
"AMBIABE_AMBINANINDRANOTELO",2015,8,1.77529553666768,2015-08-01
"AMBIABE_AMBINANINDRANOTELO",2015,9,4.59693011477193,2015-09-01
"AMBIABE_AMBINANINDRANOTELO",2015,10,63.6308675508649,2015-10-01
"AMBIABE_AMBINANINDRANOTELO",2015,11,114.734017916505,2015-11-01
"AMBIABE_AMBINANINDRANOTELO",2015,12,193.131110436563,2015-12-01
"AMBIABE_AMBINANINDRANOTELO",2016,1,82.96325002741,2016-01-01
"AMBIABE_AMBINANINDRANOTELO",2016,2,109.424620680936,2016-02-01
"AMBIABE_AMBINANINDRANOTELO",2016,3,228.4758630187,2016-03-01
"AMBIABE_AMBINANINDRANOTELO",2016,4,13.3614935723094,2016-04-01
"AMBIABE_AMBINANINDRANOTELO",2016,5,26.1446084373351,2016-05-01
"AMBIABE_AMBINANINDRANOTELO",2016,6,23.4006985584593,2016-06-01
"AMBIABE_AMBINANINDRANOTELO",2016,7,10.284929174944,2016-07-01
"AMBIABE_AMBINANINDRANOTELO",2016,8,3.11550523946947,2016-08-01
"AMBIABE_AMBINANINDRANOTELO",2016,9,3.58156039223018,2016-09-01
"AMBIABE_AMBINANINDRANOTELO",2016,10,66.4383048204415,2016-10-01
"AMBIABE_AMBINANINDRANOTELO",2016,11,128.464315331594,2016-11-01
"AMBIABE_AMBINANINDRANOTELO",2016,12,75.7093744776548,2016-12-01
"AMBIABE_AMBINANINDRANOTELO",2017,1,28.3090548194633,2017-01-01
"AMBIABE_AMBINANINDRANOTELO",2017,2,280.360391629513,2017-02-01
"AMBIABE_AMBINANINDRANOTELO",2017,3,189.07314969333,2017-03-01
"AMBIABE_AMBINANINDRANOTELO",2017,4,61.6160441535054,2017-04-01
"AMBIABE_AMBINANINDRANOTELO",2017,5,9.02363301609632,2017-05-01
"AMBIABE_AMBINANINDRANOTELO",2017,6,20.2974568518169,2017-06-01
"AMBIABE_AMBINANINDRANOTELO",2017,7,6.38851326845671,2017-07-01
"AMBIABE_AMBINANINDRANOTELO",2017,8,10.6541524910202,2017-08-01
"AMBIABE_AMBINANINDRANOTELO",2017,9,0.0322785277783644,2017-09-01
"AMBIABE_AMBINANINDRANOTELO",2017,10,13.3455703416025,2017-10-01
"AMBIABE_AMBINANINDRANOTELO",2017,11,186.611689226029,2017-11-01
"AMBIABE_AMBINANINDRANOTELO",2017,12,214.844091140612,2017-12-01
"AMBIABE_AMBINANINDRANOTELO",2018,1,310.48688237692,2018-01-01
"AMBIABE_AMBINANINDRANOTELO",2018,2,145.85659998678,2018-02-01
"AMBIABE_AMBINANINDRANOTELO",2018,3,52.6638250205907,2018-03-01
"AMBIABE_AMBINANINDRANOTELO",2018,4,65.7009958654869,2018-04-01
"AMBIABE_AMBINANINDRANOTELO",2018,5,17.0778183263404,2018-05-01
"AMBIABE_AMBINANINDRANOTELO",2018,6,9.67303797478005,2018-06-01
"AMBIABE_AMBINANINDRANOTELO",2018,7,26.1755026557373,2018-07-01
"AMBIABE_AMBINANINDRANOTELO",2018,8,5.61420928718019,2018-08-01
"AMBIABE_AMBINANINDRANOTELO",2018,9,5.32669748870139,2018-09-01
"AMBIABE_AMBINANINDRANOTELO",2018,10,26.7570744918326,2018-10-01
"AMBIABE_AMBINANINDRANOTELO",2018,11,146.757212937275,2018-11-01
"AMBIABE_AMBINANINDRANOTELO",2018,12,122.995741952281,2018-12-01
"AMBIABE_AMBINANINDRANOTELO",2019,1,254.393075196122,2019-01-01
"AMBIABE_AMBINANINDRANOTELO",2019,2,130.679623669205,2019-02-01
"AMBIABE_AMBINANINDRANOTELO",2019,3,144.191497511737,2019-03-01
"AMBIABE_AMBINANINDRANOTELO",2019,4,12.4583490336803,2019-04-01
"AMBIABE_AMBINANINDRANOTELO",2019,5,21.6063912697278,2019-05-01
"AMBIABE_AMBINANINDRANOTELO",2019,6,28.8351391871166,2019-06-01
"AMBIABE_AMBINANINDRANOTELO",2019,7,10.9350465880034,2019-07-01
"AMBIABE_AMBINANINDRANOTELO",2019,8,2.23752870385184,2019-08-01
"AMBIABE_AMBINANINDRANOTELO",2019,9,28.0175563412021,2019-09-01
"AMBIABE_AMBINANINDRANOTELO",2019,10,56.9948358594691,2019-10-01
"AMBIABE_AMBINANINDRANOTELO",2019,11,112.764480433083,2019-11-01
"AMBIABE_AMBINANINDRANOTELO",2019,12,196.76962461603,2019-12-01
"AMBIABE_AMBINANINDRANOTELO",2020,1,294.025600844916,2020-01-01
"AMBIABE_AMBINANINDRANOTELO",2020,2,174.887284145609,2020-02-01
